A,10,9,20,20,20,20,20,20,20
B,12,16,19,19,19,18,17,11,17
C,20,20,20,20,20,20,17,20,20
D,14,13,17,19,19,19,19,19,19
E,17,15,16,13,11,15,14,19,15
F,17,18,15,14,8,1,2,3,14
G,20,9,14,20,18,19,15,18,16
H,13,13,13,13,8,16,15,9,13
I,14,9,20,11,14,10,14,14,14
J,14,7,20,17,17,20,17,11,9
K,13,18,17,20,9,17,13,20,20
L,11,18,19,15,15,16,16,16,18
M,12,17,19,18,9,13,10,13,17
N,20,9,14,14,20,18,12,18,20
O,5,20,15,18,9,20,14,10,10
P,11,15,18,18,18,17,14,12,19
Q,8,17,17,13,12,12,12,15,15
R,11,16,13,18,9,15,13,13,13
S,16,17,16,14,19,16,19,19,15
